CaseID,RunID,Tester,YearsOfExperience,Order,Pair,Run,ALA,TotalSeconds,ResultTreatableLength,ResultMinTreatableDia,ResultStent1Dia,ResultStent1Length,ResultStent2Dia,ResultStent2Length,ResultCalciumPrep,ResultPostDilate,ResultBalloonDia,ResultBalloonLength,border_mods_in_kf_range,catheter_id,data_source,depth_value,num_border_mods,num_frames,num_kf_mods,pullback_speed,review_start,id
80273df3-7e1f-44c5-80f1-bf5be6719cfc,7eba3c2f-fb44-4ec5-9c03-b90b9099c2b4,Tester5,15,5,4,4A,FALSE,122,12,2.75,2.75,12,NA,NA,cutting balloon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
9995880d-4d85-43fc-a8d8-45cf8da3e310,814ebdec-f94c-4685-91de-27767db3d881,Tester9,16,2,4,4A,FALSE,469,12,2.75,2.75,12,NA,NA,NA,NA,NA,NA,0,8,5B-98_AI-LAD_PRE,8.989037,0,1564,0,1,11/18/22 15:28,37
af19ba03-9a20-4801-a3ad-5b055c4855b5,8ba5b5a5-f931-4b19-a0eb-4137679e417a,Tester3,20,6,4,4A,TRUE,48,28,2.5,2.5,28,NA,NA,balloon,yes,NA,NA,0,8,4A-110_AI-PRE_CX,8.989037,0,1136,1,1,9/18/22 15:59,43
a6066681-b94c-48ef-8160-38498e55895b,8bd2958b-50c4-467e-99d5-8b7080d46c8f,Tester2,12,8,4,4A,TRUE,88,28,2.5,2.5,28,NA,NA,NA,yes,NA,NA,0,8,4A-110_AI-PRE_CX,8.989037,0,1136,1,1,9/17/22 17:52,40
3c53b5cc-3ba1-4b4c-98f8-4d66c1414309,8c8d4ca7-13b3-46dd-a212-de895abe9dda,Tester3,20,2,2,2A,TRUE,125,24,3,3,24,NA,NA,balloon,NA,NA,NA,1,8,2A-17_AI-RCA_PRE,8.989037,1,2473,2,1,9/18/22 15:33,9
fdc43ac0-fb20-4fd1-9a2d-37ad9b5b4cda,95cec6be-1bd4-4c2b-93e3-d51eb71229bd,Tester3,20,4,3,3A,TRUE,105,48,2.5,2.5,48,NA,NA,cutting balloon,yes,NA,NA,0,8,3A-34_AI-LAD_PRE,8.989037,0,2303,2,1,9/18/22 15:47,74
6975e10f-d3f5-4add-8d51-2e529770ff2e,96a5450b-dd3e-46a9-8297-28bad66586b8,Tester9,16,3,5,5B,TRUE,185,28,3.5,3.5,28,NA,NA,cutting balloon,NA,NA,NA,0,8,1B-71_AI-POBA_LCX,8.989037,0,937,0,1,11/18/22 15:57,20
f2375b17-9e80-4105-b264-7c079e78e8fc,9e6724c3-29f8-4535-b6db-0ef46c3dcce9,Tester8,16,7,1,1A,FALSE,158,48,3,3,48,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65
de0950db-7998-4334-ab57-6d33beb5ce9d,9ef9cf19-ddd3-4d5c-8599-ff661241be01,Tester5,15,4,3,3B,TRUE,96,12,3.75,3.75,12,NA,NA,"balloon, cutting balloon",NA,NA,NA,0,8,3B-92_AI-pre_LAD,8.989037,0,2337,2,1,9/18/22 18:25,57
f3a4013f-4845-4ce0-b354-77ad9bf2861d,a130e910-8126-4b6f-9e4f-7df87bca23d0,Tester3,20,5,4,4B,FALSE,124,38,2.5,2.5,.,NA,NA,balloon,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
fa40d99e-7411-40fb-9255-d235ea8df45b,aefaac86-b10a-4605-ac57-821f0c661c4f,Tester2,12,4,1,1A,TRUE,35,40,3,3,40,NA,NA,NA,yes,NA,NA,0,8,1A-30_AI-CX_POBA2,8.989037,0,1695,1,1,9/17/22 17:31,69
8a8e3b2c-5f1b-49ef-9628-a0e21b5f5464,b40b3058-9315-48db-8e44-5dce70ab1fc3,Tester9,16,6,1,1A,FALSE,209,0,na,NA,NA,NA,NA,NA,NA,NA,NA,0,8,3B-92_AI-pre_LAD,8.989037,0,2337,0,1,11/18/22 16:33,32
619f57e5-4ddc-470c-aa9c-df659948363f,b6b5087c-1c88-48f8-a111-93705c893b41,Tester4,9,1,2,2B,FALSE,156,28,3,3,28,NA,NA,cutting balloon,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
b88cc701-ddee-42b4-a4f6-ae9bea32581e,b7c6f29b-7e87-48c7-9d43-6e143b032430,Tester8,16,4,4,4B,TRUE,79,40,3,3,48,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
1cfce35a-b3d4-400d-afbc-45b7e6a1e950,bc2e745a-f4ca-46f7-bf29-e9a50c1ed427,Tester4,9,4,3,3A,TRUE,285,56,2.5,2.5,20,3,38,"cutting balloon, POBA",yes,NA,NA,0,8,3A-34_AI-LAD_PRE,8.989037,0,2303,1,1,9/18/22 17:32,7
1a2d3a79-52a0-48da-af59-317850972729,c033e73b-2561-462a-8a1d-7b877a50594e,Tester7,15,2,3,3B,FALSE,590,32,3,3,32,NA,NA,cutting balloon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
7c15e052-9b34-46a3-ba79-9d5b4eab2836,c4a7c3dc-fb33-406d-afde-568f9afae654,Tester1,10,5,4,4A,TRUE,85,28,3,3,28,NA,NA,NA,NA,NA,NA,0,8,4A-110_AI-PRE_CX,8.989037,0,1136,2,1,9/16/22 20:44,24
82ecb69f-50c1-4613-9c34-ba99f2a82df1,c7480b6f-0ad1-475a-aac1-d19e8972a417,Tester2,12,1,3,3B,FALSE,129,28,2.5,2.5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
87797e84-008f-4e1b-8f56-da146cc0deac,ca3981e9-c45e-48f9-81b8-c7772a55cc72,Tester9,16,4,5,5A,FALSE,499,38,3.5,3.5,38,NA,NA,noncompliant balloon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
4fa0a610-b561-43db-83b6-75e939bab4ca,cbed4d5e-0c47-4375-bf58-87c128b088b4,Tester1,10,1,2,2A,TRUE,134,18,3,3,18,NA,NA,NA,NA,NA,NA,0,8,2A-17_AI-RCA_PRE,8.989037,0,2472,2,1,9/16/22 20:15,15
3a25e3b2-11cd-42c8-aef9-a9ab7503dff0,cbedacef-e559-4fdb-85b2-ed40b0eafa46,Tester2,12,6,2,2A,TRUE,91,40,3,3,40,NA,NA,NA,yes,NA,NA,0,8,2A-17_AI-RCA_PRE,8.989037,0,2472,2,1,9/17/22 17:43,8
